DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,endereco,lat,location,lon,nao_considerados,nome_local,nome_munic,num_local,secoes,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
822,1990,912,4449,PARQUE PAULISTA,25261000,"AV. 31 DE MARÇO, 88",-22.6591315,"AV. 31 DE MARÇO, 88, PARQUE PAULISTA, DUQUE DE CAXIAS, Rio de Janeiro",-43.2516867,1637,CIEP 015 - MUNICIPALIZADO HENRIQUE DE SOUZA FILHO - HENFIL,DUQUE DE CAXIAS,1279,12,0,190,0,2812,535,127
962,928,724,2946,COPACABANA,25060350,RUA ITU 1,-22.7552492,"RUA ITU 1, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",-43.3009259,1056,ESCOLA ESTADUAL ARARIBÓIA,DUQUE DE CAXIAS,1031,8,0,68,0,1890,264,78
541,492,479,1705,CENTRO,25020150,"RUA JOSE DE ALVARENGA, 642",-22.790752,"RUA JOSE DE ALVARENGA, 642, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3115564,672,IPMDC-INSTITUTO DE PREVIDENCIA MUNICIPAL DE DUQUE DE CAXIAS,DUQUE DE CAXIAS,1171,8,0,38,0,1033,155,103
626,824,571,2395,NOVA CAMPINAS,25265000,"AV. A, S/N - QD 93",-22.78741,"AV. A, S/N - QD 93, NOVA CAMPINAS, DUQUE DE CAXIAS, Rio de Janeiro",-43.31298,945,CRECHE E PRÉ-ESCOLA MUNICIPAL PROFESSORA ARMANDA ÁLVARO ALBERTO,DUQUE DE CAXIAS,1309,7,0,95,0,1450,279,127
1518,1847,1327,5449,SARACURUNA,25212662,RUA CASTRO ALVES S/N,-22.71904,"RUA CASTRO ALVES S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",-43.29302,2084,CIEP 229 CANDIDO PORTINARI,DUQUE DE CAXIAS,1724,14,0,183,0,3365,574,126
571,2179,742,3725,XERÉM,25250310,ESTRADA DA IGREJA VELHA-F.N.M. S/N,-22.60722,"ESTRADA DA IGREJA VELHA-F.N.M. S/N, XERÉM, DUQUE DE CAXIAS, Rio de Janeiro",-43.31516,975,ESCOLA ESTADUAL SANTO ANTONIO,DUQUE DE CAXIAS,1090,10,0,46,0,2750,187,128
1773,900,1117,4196,PARQUE LAGUNA E DOURADOS,25085420,"AV. DR. MANOEL TELLES, S/N",-22.7906,"AV. DR. MANOEL TELLES, S/N, PARQUE LAGUNA E DOURADOS, DUQUE DE CAXIAS, Rio de Janeiro",-43.31254,1523,CENTRO EDUCACIONAL COLEGIO CARLOS GOMES (QUADRA),DUQUE DE CAXIAS,1325,11,0,106,0,2673,300,103
775,975,686,2737,CENTENÁRIO,25030150,RUA CEL. ALBERTO DE MELO S/N,-22.77465,"RUA CEL. ALBERTO DE MELO S/N, CENTENÁRIO, DUQUE DE CAXIAS, Rio de Janeiro",-43.31607,987,ESCOLA MUNICIPAL HELENA AGUIAR DE MEDEIROS,DUQUE DE CAXIAS,1082,7,0,84,0,1750,217,77
795,1231,743,3083,JARDIM GRAMACHO,25055340,"RUA CARAMURU, 84",-22.7563798,"RUA CARAMURU, 84, JARDIM GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",-43.278041,1057,ESCOLA MUNICIPAL MAURO DE CASTRO,DUQUE DE CAXIAS,1350,8,0,66,0,2026,248,78
456,342,508,1452,JARDIM 25 DE AGOSTO,25071181,"AV. BRIGADEIRO LIMA E SILVA, 2059 - AG.129",-22.7902794,"AV. BRIGADEIRO LIMA E SILVA, 2059 - AG.129, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3067975,654,BRADESCO - AGÊNCIA 0129,DUQUE DE CAXIAS,1317,5,0,25,0,798,121,66
1438,626,718,3126,PARQUE LAFAIETE,25025020,AV. NILO PECANHA 2716,-22.7933236,"AV. NILO PECANHA 2716, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",-43.3278894,1062,ESCOLA VENANCIO PEREIRA VELLOSO,DUQUE DE CAXIAS,1473,9,0,70,0,2064,274,103
1337,1218,951,4044,VILA SÃO LUIS,25065050,RUA GENERAL MANOEL RABELO S/N,-22.7769,"RUA GENERAL MANOEL RABELO S/N, VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",-43.29655,1489,FACULDADE DE EDUCACAO DA BAIXADA FLUMINENSE - UERJ,DUQUE DE CAXIAS,1155,12,0,97,0,2555,441,200
460,548,394,1602,GRAMACHO,25035185,"RUA JOAQUIM JOSE SOARES, N 273",-22.7570907,"RUA JOAQUIM JOSE SOARES, N 273, GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3053694,594,CENSA -  CENTRO EDUCACIONAL DE CAXIAS NOSSA SRA APARECIDA,DUQUE DE CAXIAS,1287,6,0,41,0,1008,159,194
843,2029,938,4478,VILA MARIA HELENA,25251600,RUA EUSTAQUIO DE AZEVEDO S/N,-22.66859,"RUA EUSTAQUIO DE AZEVEDO S/N, VILA MARIA HELENA, DUQUE DE CAXIAS, Rio de Janeiro",-43.27912,1606,CIEP 370 PROFESSOR SYLVIO GNECCO DE CARVALHO,DUQUE DE CAXIAS,1635,12,0,157,0,2872,511,126
889,2313,1190,5053,SANTA CRUZ DA SERRA,25251740,RODOVIA WASHINGTON LUIZ S/N,-22.64491,"RODOVIA WASHINGTON LUIZ S/N, SANTA CRUZ DA SERRA, DUQUE DE CAXIAS, Rio de Janeiro",-43.28358,1851,CIEP MONTEIRO LOBATO,DUQUE DE CAXIAS,1147,14,0,162,0,3202,499,128
1106,827,560,3058,JARDIM PRIMAVERA,25210000,RUA ODESSA 546,-22.6868436,"RUA ODESSA 546, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",-43.2681686,1125,COLEGIO ESTADUAL HELIO RANGEL,DUQUE DE CAXIAS,1368,8,0,152,0,1933,413,126
