data,hora,ano,turno,descricao,uf,ue,codigo_municipio,nome_municipio,zona,secao,codigo_cargo,cargo,aptos,comparecimento,abstencoes,votos_nominais,votos_brancos,votos_nulos,votos_legenda,votos_anulados
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,27,11,PREFEITO,396,275,121,237,3,35,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,77,122,11,PREFEITO,315,251,64,207,8,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,53,11,PREFEITO,382,304,78,242,17,45,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,154,11,PREFEITO,385,304,81,245,21,38,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,97,11,PREFEITO,324,234,90,196,7,31,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,100,11,PREFEITO,379,262,117,211,9,42,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,549,11,PREFEITO,324,273,51,245,12,16,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,16,11,PREFEITO,371,264,107,229,7,28,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,41,11,PREFEITO,398,287,111,248,6,33,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,561,11,PREFEITO,360,275,85,241,7,27,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,125,11,PREFEITO,393,318,75,273,12,33,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,162,11,PREFEITO,385,272,113,245,10,17,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,121,11,PREFEITO,391,264,127,236,6,22,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,131,11,PREFEITO,377,308,69,267,8,33,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,353,11,PREFEITO,397,314,83,260,9,45,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,205,11,PREFEITO,321,246,75,210,7,29,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,182,11,PREFEITO,246,154,92,136,5,13,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,564,11,PREFEITO,310,253,57,219,9,25,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,128,107,11,PREFEITO,371,314,57,271,11,32,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,49,11,PREFEITO,291,183,108,147,6,30,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,102,11,PREFEITO,391,271,120,237,8,26,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,31,11,PREFEITO,396,298,98,260,8,30,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,32,11,PREFEITO,314,224,90,204,3,17,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,77,174,11,PREFEITO,367,273,94,238,9,26,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,45,11,PREFEITO,298,205,93,170,12,23,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,202,11,PREFEITO,399,278,121,245,10,23,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,18,11,PREFEITO,399,291,108,245,9,37,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,297,11,PREFEITO,338,252,86,207,10,35,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,77,46,11,PREFEITO,356,260,96,228,9,23,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,40,11,PREFEITO,299,240,59,197,11,32,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,151,11,PREFEITO,326,206,120,171,10,25,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,194,101,11,PREFEITO,264,200,64,163,11,26,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,89,11,PREFEITO,380,280,100,249,12,19,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,11,11,PREFEITO,388,284,104,233,12,39,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,156,11,PREFEITO,396,327,69,269,11,47,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,611,11,PREFEITO,331,251,80,219,6,26,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,59,11,PREFEITO,393,268,125,235,12,21,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,406,11,PREFEITO,398,323,75,266,7,50,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,636,11,PREFEITO,398,313,85,263,14,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,128,54,11,PREFEITO,243,177,66,163,2,12,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,128,11,PREFEITO,390,317,73,258,11,48,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,98,11,PREFEITO,398,298,100,273,3,22,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,204,11,PREFEITO,397,322,75,266,9,47,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,653,11,PREFEITO,395,304,91,238,17,49,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,61,11,PREFEITO,276,221,55,174,12,35,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,86,11,PREFEITO,326,263,63,230,8,25,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,128,76,11,PREFEITO,358,324,34,295,9,20,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,126,11,PREFEITO,277,227,50,187,12,28,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,15,11,PREFEITO,372,263,109,229,7,27,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,77,15,11,PREFEITO,395,271,124,241,8,22,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,159,11,PREFEITO,394,311,83,252,14,45,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,3,11,PREFEITO,261,173,88,139,6,28,0,0
